School,Gender,Age,Housing_Type,Family_Size,Parental_Status,Mother_Education,Father_Education,Mother_Work,Father_Work,Reason_School_Choice,Legal_Responsibility,Commute_Time,Weekly_Study_Time,Extra_Educational_Support,Parental_Educational_Support,Private_Tutoring,Extracurricular_Activities,Attended_Daycare,Desire_Graduate_Education,Has_Internet,Is_Dating,Good_Family_Relationship,Free_Time_After_School,Time_with_Friends,Health_Status,School_Absence,Grade_1st_Semester,Grade_2nd_Semester,Alcoholic
Gabriel Pereira,Female,18,Urban,Above 3,Living Together,Lower Secondary School,Lower Secondary School,Homemaker,Homemaker,Other,Mother,Up to 15 min,5 to 10h,No,Yes,No,No,Yes,Yes,Yes,No,Good,Moderate,Moderate,Poor,0,18,18,0
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Higher Education,Higher Education,Teacher,Teacher,Near Home,Mother,Up to 15 min,2 to 5h,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Good,High,Very High,Very Good,4,12,11,1
Gabriel Pereira,Male,18,Rural,Above 3,Living Together,High School,Lower Secondary School,other,other,Course Preference,Mother,Up to 15 min,5 to 10h,No,No,No,Yes,No,Yes,No,No,Excellent,Moderate,Low,Fair,2,10,11,0
Gabriel Pereira,Male,17,Rural,Above 3,Living Together,Lower Secondary School,Primary School,other,other,Course Preference,Mother,Up to 15 min,Up to 2h,No,No,No,No,No,Yes,Yes,No,Good,High,Low,Very Good,0,12,12,1
Mousinho da Silveira,Female,17,Rural,Above 3,Living Together,Primary School,Primary School,Homemaker,Homemaker,Course Preference,Father,15 to 30 min,Up to 2h,No,Yes,No,Yes,Yes,No,Yes,Yes,Fair,Very High,Very High,Good,3,10,11,0
Gabriel Pereira,Male,18,Urban,Up to 3,Living Together,Lower Secondary School,Primary School,Services,other,Course Preference,Mother,30 min to 1h,2 to 5h,No,No,No,Yes,No,No,Yes,No,Good,High,Very High,Very Good,4,11,10,1
Mousinho da Silveira,Male,19,Urban,Above 3,Living Together,High School,Lower Secondary School,Homemaker,Services,Course Preference,Mother,15 to 30 min,Up to 2h,No,No,No,Yes,Yes,Yes,No,No,Fair,Low,Very Low,Fair,4,6,11,0
Mousinho da Silveira,Male,19,Rural,Above 3,Living Together,Primary School,Primary School,other,other,Near Home,Other,30 min to 1h,Up to 2h,No,Yes,No,No,Yes,Yes,Yes,No,Good,High,High,Very Good,4,8,9,0
Mousinho da Silveira,Male,16,Urban,Above 3,Living Together,Primary School,Primary School,Homemaker,Services,Near Home,Mother,15 to 30 min,2 to 5h,No,Yes,No,Yes,Yes,Yes,No,Yes,Excellent,High,Very High,Fair,0,7,0,1
Gabriel Pereira,Male,16,Urban,Above 3,Living Together,Lower Secondary School,High School,other,other,Near Home,Father,15 to 30 min,Up to 2h,No,No,No,No,Yes,Yes,Yes,No,Excellent,Moderate,Moderate,Fair,0,13,12,0
