iter	F1	Logloss
0	0	0.6003554113
1	0	0.5348579394
2	0	0.510014743
3	0	0.4975376016
4	0	0.4911069385
5	0	0.4879150674
6	0	0.4677811135
7	0	0.4669135596
8	0	0.4661217882
9	0	0.4527209962
10	0	0.4526568546
11	0	0.4456076618
12	0	0.4450736106
13	0	0.4382890597
14	0	0.4382862311
15	0	0.4334146896
16	0	0.4321908232
17	0.01886792453	0.4253052074
18	0.01886792453	0.4228198089
19	0.01886792453	0.4217301297
20	0.1081081081	0.416595185
21	0.1081081081	0.4164152422
22	0.1081081081	0.4146164563
23	0.125	0.4134809646
24	0.1415929204	0.4106215088
25	0.1565217391	0.4095196474
26	0.2900763359	0.3981433881
27	0.3407407407	0.396244655
28	0.3407407407	0.3939679576
29	0.3971631206	0.3860591581
30	0.4520547945	0.3823336605
31	0.462585034	0.3808910338
32	0.472972973	0.3769745532
33	0.4832214765	0.3757561451
34	0.5324675325	0.3698727395
35	0.5384615385	0.3658576972
36	0.5384615385	0.3656940998
37	0.5408805031	0.3633455183
38	0.5375	0.3615904886
39	0.5375	0.3614280471
40	0.5408805031	0.3609346296
41	0.5375	0.3605030984
42	0.5408805031	0.3580992788
43	0.5408805031	0.3580955649
44	0.5384615385	0.3556393589
45	0.5290322581	0.3553976428
46	0.5350318471	0.3530711729
47	0.5350318471	0.3529881231
48	0.5384615385	0.3527664792
49	0.5350318471	0.3526425024
50	0.5408805031	0.3521257709
51	0.5384615385	0.3494951837
52	0.5569620253	0.3472407535
53	0.5477707006	0.3471486137
54	0.5660377358	0.347042265
55	0.5660377358	0.347015865
56	0.5660377358	0.3469204862
57	0.5625	0.3452470753
58	0.5625	0.3450764026
59	0.5625	0.3449625649
60	0.5625	0.3447925913
61	0.5625	0.3432087072
62	0.5625	0.3431105481
63	0.5625	0.3429997093
64	0.5625	0.3429617522
65	0.5625	0.3427918594
66	0.5714285714	0.3406158713
67	0.5714285714	0.3388819606
68	0.5714285714	0.3386210456
69	0.5714285714	0.3385751273
70	0.5714285714	0.3384773863
71	0.5802469136	0.3354627814
72	0.5802469136	0.3350674563
73	0.5766871166	0.3329391953
74	0.5766871166	0.3328314285
75	0.5853658537	0.3326586155
76	0.5853658537	0.3324525223
77	0.5802469136	0.3312947467
78	0.5889570552	0.3305739093
79	0.5802469136	0.3281589473
80	0.5838509317	0.3275030606
81	0.5925925926	0.3273021615
82	0.5889570552	0.326445435
83	0.5889570552	0.3263384375
84	0.5802469136	0.3253579514
85	0.5802469136	0.3252003533
86	0.5802469136	0.3251343746
87	0.5802469136	0.3248938022
88	0.5766871166	0.3241599867
89	0.5766871166	0.3238166607
90	0.5802469136	0.3234677865
91	0.5853658537	0.3231004153
92	0.5853658537	0.3229474366
93	0.5853658537	0.3229402345
94	0.5853658537	0.322762185
95	0.5853658537	0.3226297266
96	0.5766871166	0.321869861
97	0.5939393939	0.3212393213
98	0.5853658537	0.3210624408
99	0.5939393939	0.3208293312
100	0.5939393939	0.320662068
101	0.5975609756	0.3192228711
102	0.6060606061	0.3187301617
103	0.6097560976	0.3181979544
104	0.6060606061	0.3166473378
105	0.5975609756	0.3163020579
106	0.5975609756	0.3162372738
107	0.6049382716	0.314596775
108	0.6134969325	0.3144663871
109	0.6219512195	0.314312008
110	0.6219512195	0.3122915786
111	0.6097560976	0.310846243
112	0.6097560976	0.3108089771
113	0.6097560976	0.3107866935
114	0.6097560976	0.3107604897
115	0.6097560976	0.3107431039
116	0.6097560976	0.309872544
117	0.6097560976	0.3098086071
118	0.6097560976	0.3097932673
119	0.6097560976	0.3096807342
120	0.6097560976	0.3094241896
121	0.6097560976	0.3087921717
122	0.6097560976	0.3087861632
123	0.6181818182	0.3086408657
124	0.6097560976	0.3085846134
125	0.6097560976	0.3083898415
126	0.6181818182	0.3083050647
127	0.6181818182	0.3072343174
128	0.6134969325	0.3068191619
129	0.6097560976	0.3057619146
130	0.6097560976	0.3057502146
131	0.6097560976	0.305649184
132	0.6060606061	0.3055952599
133	0.6181818182	0.3042045395
134	0.6181818182	0.3041382134
135	0.6181818182	0.3038179871
136	0.6181818182	0.3035057406
137	0.6181818182	0.3027159938
