iter	Passed	Remaining
0	5	1142
1	18	2129
2	35	2646
3	43	2454
4	56	2537
5	61	2273
6	75	2388
7	95	2613
8	121	2947
9	145	3177
10	173	3421
11	189	3412
12	205	3398
13	223	3420
14	241	3431
15	254	3373
16	269	3341
17	286	3343
18	301	3313
19	317	3297
20	339	3346
21	353	3305
22	366	3265
23	377	3206
24	387	3146
25	399	3103
26	420	3130
27	433	3093
28	448	3077
29	463	3061
30	476	3029
31	490	3003
32	511	3025
33	531	3030
34	551	3038
35	568	3032
36	583	3010
37	600	3003
38	620	3006
39	640	3011
40	661	3015
41	672	2978
42	684	2945
43	699	2924
44	714	2907
45	733	2901
46	763	2941
47	780	2926
48	795	2904
49	810	2884
50	824	2861
51	836	2830
52	851	2809
53	866	2792
54	883	2777
55	898	2760
56	913	2740
57	927	2718
58	943	2703
59	972	2723
60	996	2728
61	1012	2711
62	1024	2683
63	1037	2658
64	1060	2658
65	1078	2648
66	1093	2628
67	1110	2612
68	1123	2589
69	1137	2567
70	1149	2542
71	1166	2527
72	1192	2532
73	1217	2533
74	1237	2524
75	1254	2508
76	1269	2490
77	1284	2469
78	1297	2446
79	1308	2421
80	1320	2396
81	1335	2378
82	1355	2367
83	1381	2368
84	1398	2353
85	1418	2342
86	1433	2323
87	1447	2303
88	1460	2281
89	1473	2260
90	1491	2245
91	1503	2223
92	1519	2205
93	1531	2183
94	1546	2165
95	1560	2145
96	1577	2130
97	1590	2110
98	1611	2099
99	1629	2085
100	1647	2071
101	1664	2055
102	1691	2052
103	1708	2037
104	1726	2022
105	1740	2003
106	1752	1981
107	1767	1963
108	1787	1951
109	1808	1939
110	1826	1925
111	1852	1918
112	1874	1907
113	1891	1891
114	1906	1873
115	1919	1853
116	1926	1828
117	1941	1810
118	1955	1791
119	1972	1774
120	1992	1761
121	2017	1752
122	2033	1735
123	2052	1721
124	2069	1705
125	2082	1685
126	2105	1674
127	2120	1656
128	2135	1638
129	2151	1622
130	2169	1606
131	2186	1590
132	2204	1574
133	2218	1556
134	2231	1537
135	2248	1521
136	2277	1512
137	2301	1501
138	2316	1482
139	2333	1466
140	2347	1448
141	2365	1432
142	2379	1414
143	2399	1399
144	2415	1382
145	2427	1363
146	2437	1343
147	2459	1329
148	2506	1329
149	2528	1315
150	2542	1296
151	2556	1278
152	2567	1258
153	2579	1239
154	2598	1223
155	2615	1206
156	2633	1190
157	2647	1172
158	2662	1155
159	2675	1137
160	2692	1120
161	2709	1104
162	2726	1087
163	2742	1070
164	2773	1058
165	2790	1042
166	2805	1024
167	2825	1009
168	2839	991
169	2854	973
170	2868	956
171	2887	940
172	2922	929
173	2946	914
174	2959	896
175	2973	878
176	2989	861
177	3001	843
178	3014	825
179	3031	808
180	3050	792
181	3061	773
182	3078	756
183	3093	739
184	3109	722
185	3123	705
186	3142	689
187	3156	671
188	3171	654
189	3188	637
190	3207	621
191	3222	604
192	3241	587
193	3256	570
194	3274	554
195	3287	536
196	3305	520
197	3320	503
198	3337	486
199	3354	469
200	3369	452
201	3386	435
202	3398	418
203	3410	401
204	3421	383
205	3444	367
206	3463	351
207	3482	334
208	3501	318
209	3516	301
210	3539	285
211	3557	268
212	3573	251
213	3595	235
214	3613	218
215	3632	201
216	3647	184
217	3671	168
218	3689	151
219	3709	134
220	3725	117
221	3744	101
222	3764	84
223	3777	67
224	3792	50
225	3811	33
226	3829	16
227	3841	0
