iter	F1	Logloss
0	0	0.6056216761
1	0	0.5540315909
2	0	0.5283275593
3	0	0.5125222113
4	0	0.5046223854
5	0	0.4931706705
6	0	0.4676835591
7	0	0.4613513565
8	0	0.4571021571
9	0	0.4538418398
10	0	0.4528016584
11	0	0.442733284
12	0	0.4419929128
13	0	0.4414869634
14	0	0.4414855822
15	0	0.4404295771
16	0	0.4401400858
17	0	0.4302400197
18	0	0.430235111
19	0.02985074627	0.4273940563
20	0.04444444444	0.4245563749
21	0.08695652174	0.4214355707
22	0.08695652174	0.4214354117
23	0.1007194245	0.4196867037
24	0.08695652174	0.4185822482
25	0.1408450704	0.4142599705
26	0.2875	0.3988581303
27	0.3333333333	0.3895903696
28	0.4134078212	0.3825926288
29	0.4559585492	0.3780810239
30	0.4536082474	0.3771789079
31	0.4851485149	0.3732851119
32	0.4924623116	0.3695974339
33	0.4975124378	0.3677097412
34	0.5196078431	0.3659060149
35	0.5242718447	0.3636180287
36	0.5242718447	0.3623828479
37	0.5314009662	0.3617726949
38	0.5339805825	0.3599019052
39	0.5339805825	0.3596253175
40	0.5365853659	0.3583805043
41	0.5365853659	0.3578721904
42	0.5320197044	0.3559906709
43	0.5463414634	0.3548224358
44	0.5463414634	0.3544694736
45	0.5463414634	0.3538054151
46	0.5463414634	0.3535695679
47	0.5339805825	0.3515559067
48	0.5365853659	0.3509238246
49	0.5294117647	0.3494999626
50	0.5480769231	0.3476716134
51	0.5392156863	0.3464975782
52	0.5392156863	0.3463822005
53	0.5463414634	0.346220283
54	0.5463414634	0.3461940749
55	0.5533980583	0.3458668894
56	0.5490196078	0.3451599326
57	0.5533980583	0.3447323792
58	0.5673076923	0.3435195834
59	0.5603864734	0.3422523367
60	0.5673076923	0.3418256123
61	0.5673076923	0.3407703868
62	0.5603864734	0.339721314
63	0.5700483092	0.3395240483
64	0.5700483092	0.3394713915
65	0.5700483092	0.3393757375
66	0.5700483092	0.3389704343
67	0.5700483092	0.334943297
68	0.5631067961	0.3348183497
69	0.5631067961	0.3346176604
70	0.5631067961	0.3345388826
71	0.5769230769	0.3336006171
72	0.5837320574	0.3328303157
73	0.5837320574	0.3326256109
74	0.5904761905	0.3304248103
75	0.5904761905	0.3303190351
76	0.5943396226	0.3298568128
77	0.5971563981	0.3296820336
78	0.5971563981	0.3295313214
79	0.5971563981	0.3294067003
80	0.5971563981	0.3290933288
81	0.5971563981	0.3290799118
82	0.5971563981	0.3289483033
83	0.6095238095	0.3280801193
84	0.6095238095	0.3279394944
85	0.6161137441	0.327155859
86	0.6161137441	0.3270760724
87	0.619047619	0.3269099843
88	0.6124401914	0.3267653914
89	0.6124401914	0.3262500494
90	0.6124401914	0.3257525118
91	0.6153846154	0.3241419195
92	0.6124401914	0.32379701
93	0.6124401914	0.3237061012
94	0.6124401914	0.3236919219
95	0.6255924171	0.3231283211
96	0.619047619	0.3231178665
97	0.619047619	0.3230916355
98	0.619047619	0.3230899507
99	0.6220095694	0.3208235871
100	0.6220095694	0.3206825343
101	0.6220095694	0.3206609389
102	0.6220095694	0.3204262043
103	0.6220095694	0.3201948722
104	0.619047619	0.3197581946
105	0.6255924171	0.3196330806
106	0.6255924171	0.3195640525
107	0.6255924171	0.3195371199
108	0.619047619	0.3192760992
109	0.6255924171	0.3174514297
110	0.6285714286	0.3173870391
111	0.63507109	0.3173679423
112	0.6255924171	0.3170407073
113	0.6220095694	0.3169136806
114	0.6220095694	0.3160684719
115	0.6153846154	0.3146852011
116	0.6220095694	0.3145898508
117	0.6220095694	0.3145408472
118	0.6220095694	0.3145361826
119	0.63507109	0.3138778887
120	0.63507109	0.3138204919
121	0.63507109	0.3136899036
122	0.641509434	0.3133948585
123	0.6478873239	0.3113965875
124	0.6478873239	0.3111327061
125	0.6380952381	0.3096896339
126	0.6380952381	0.3095557363
127	0.6380952381	0.3093685604
128	0.644549763	0.3089083831
129	0.644549763	0.3088947074
130	0.644549763	0.3082349048
131	0.644549763	0.3082091465
132	0.6476190476	0.3081177837
133	0.6476190476	0.3080204394
134	0.6476190476	0.3077360847
135	0.6476190476	0.3073417383
136	0.644549763	0.3073249789
137	0.6476190476	0.3061100772
138	0.654028436	0.3057579397
139	0.6509433962	0.3056285166
