iter	Passed	Remaining
0	29	6590
1	47	5330
2	229	17245
3	257	14428
4	266	11903
5	322	11930
6	347	10975
7	366	10077
8	384	9366
9	406	8868
10	423	8351
11	440	7924
12	458	7590
13	478	7311
14	490	6962
15	507	6728
16	524	6506
17	540	6309
18	547	6023
19	566	5890
20	582	5745
21	598	5607
22	606	5402
23	623	5298
24	642	5218
25	662	5145
26	677	5046
27	698	4986
28	714	4900
29	730	4822
30	745	4739
31	762	4669
32	778	4600
33	799	4559
34	814	4493
35	830	4426
36	845	4364
37	861	4308
38	874	4239
39	891	4188
40	907	4139
41	923	4089
42	943	4058
43	967	4045
44	983	3998
45	998	3949
46	1012	3900
47	1028	3855
48	1043	3810
49	1088	3874
50	1112	3862
51	1128	3820
52	1144	3779
53	1158	3732
54	1173	3691
55	1188	3651
56	1202	3606
57	1216	3564
58	1231	3526
59	1247	3492
60	1261	3454
61	1286	3443
62	1305	3418
63	1319	3382
64	1334	3345
65	1349	3311
66	1362	3273
67	1376	3237
68	1388	3200
69	1404	3170
70	1426	3154
71	1449	3140
72	1466	3114
73	1480	3080
74	1494	3047
75	1513	3026
76	1528	2996
77	1540	2963
78	1555	2933
79	1568	2901
80	1586	2878
81	1602	2853
82	1618	2827
83	1631	2797
84	1644	2767
85	1658	2738
86	1670	2706
87	1685	2682
88	1700	2656
89	1714	2629
90	1730	2605
91	1746	2582
92	1762	2558
93	1777	2533
94	1790	2506
95	1802	2478
96	1818	2455
97	1831	2430
98	1847	2407
99	1864	2386
100	1879	2362
101	1892	2338
102	1907	2315
103	1931	2302
104	1947	2281
105	1967	2264
106	1985	2245
107	2008	2231
108	2021	2207
109	2039	2187
110	2052	2163
111	2064	2138
112	2079	2116
113	2098	2098
114	2113	2077
115	2136	2062
116	2148	2038
117	2161	2015
118	2174	1991
119	2189	1970
120	2205	1950
121	2219	1928
122	2234	1907
123	2247	1884
124	2263	1865
125	2278	1844
126	2296	1826
127	2316	1809
128	2334	1791
129	2348	1770
130	2363	1749
131	2383	1733
132	2398	1712
133	2412	1692
134	2428	1672
135	2443	1653
136	2456	1631
137	2478	1616
138	2492	1595
139	2508	1576
140	2521	1555
141	2535	1535
142	2550	1516
143	2563	1495
144	2580	1477
145	2593	1456
146	2608	1437
147	2621	1417
148	2634	1396
149	2648	1377
150	2661	1357
151	2683	1341
152	2696	1321
153	2709	1301
154	2722	1282
155	2738	1263
156	2754	1245
157	2767	1226
158	2781	1207
159	2795	1188
160	2809	1169
161	2828	1152
162	2842	1133
163	2856	1114
164	2876	1098
165	2900	1083
166	2913	1064
167	2929	1046
168	2943	1027
169	2957	1009
170	2972	990
171	2991	973
172	3013	958
173	3028	939
174	3045	922
175	3060	904
176	3077	886
177	3094	869
178	3108	850
179	3121	832
180	3135	814
181	3148	795
182	3163	777
183	3178	760
184	3195	742
185	3208	724
186	3225	707
187	3239	689
188	3253	671
189	3266	653
190	3280	635
191	3296	618
192	3314	601
193	3331	583
194	3345	566
195	3358	548
196	3375	531
197	3390	513
198	3406	496
199	3421	479
200	3438	461
201	3454	444
202	3467	427
203	3486	410
204	3500	392
205	3518	375
206	3533	358
207	3547	341
208	3565	324
209	3577	306
210	3593	289
211	3608	272
212	3624	255
213	3637	237
214	3652	220
215	3667	203
216	3680	186
217	3695	169
218	3717	152
219	3735	135
220	3752	118
221	3767	101
222	3781	84
223	3795	67
224	3811	50
225	3826	33
226	3841	16
227	3863	0
