iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.0,0.0,0.0,0.0,0.6008380023045512,0.0007063518989195958,0.6008412277691576,0.0004434877743703186
1,0.0,0.0,0.0,0.0,0.545053408917951,0.008194494256300746,0.5462946509337472,0.013368949762237526
2,0.0,0.0,0.0,0.0,0.5213933281807063,0.008153777315132208,0.5220992211615596,0.012323838806938683
3,0.0,0.0,0.0,0.0,0.5087931381793998,0.007948866047969244,0.5092552412770903,0.012264019278112591
4,0.0,0.0,0.0,0.0,0.5028601114098148,0.008192628328752616,0.5018924124481985,0.011556311286039947
5,0.0,0.0,0.0,0.0,0.4947566055050869,0.009802833129974776,0.4933068458206944,0.011137656389271906
6,0.0,0.0,0.0,0.0,0.4864667960059762,0.013437060880012333,0.4839474384104948,0.01576990996152527
7,0.0,0.0,0.0,0.0,0.48197664939223406,0.013544770938211265,0.4778413531781777,0.013841028909691131
8,0.0,0.0,0.0,0.0,0.4813109296945604,0.01397419527658973,0.4768226557680462,0.013804083234193213
9,0.0,0.0,0.0,0.0,0.4769647827629905,0.016478290580250313,0.4689720196463617,0.01531028482368778
10,0.0,0.0,0.0,0.0,0.4745567293299205,0.014936782548453782,0.46440903632421193,0.01558533184266563
11,0.0,0.0,0.0,0.0,0.4626518997968966,0.011432671034921446,0.4524551297473689,0.01138969789630632
12,0.0,0.0,0.0,0.0,0.46106400074716997,0.010098324183707352,0.450355707611811,0.009994146800935185
13,0.0,0.0,0.0,0.0,0.45523648332001726,0.01104522838130471,0.4446137865828095,0.010173536426528351
14,0.0,0.0,0.01090909090909091,0.024393468845452255,0.44675540451893203,0.00536780468773007,0.4372028971545217,0.009130757811982353
15,0.028571428571428574,0.06388765649999399,0.02105263157894737,0.04707511531578506,0.44005788042306315,0.0033026950072541487,0.4293081100293127,0.015208822265986851
16,0.028571428571428574,0.06388765649999399,0.02434782608695652,0.05444339423477749,0.4389058433878561,0.0036827217287340916,0.4276118164520858,0.014108073376606745
17,0.028571428571428574,0.06388765649999399,0.0313597918022121,0.06013274095719236,0.4370171120295918,0.007211982969914068,0.42544081687906543,0.013405821418522848
18,0.027586206896551724,0.061684633862063167,0.05048710927423997,0.09237470248348371,0.4318010040487518,0.010902426387479161,0.4201766531932729,0.012009730764702173
19,0.05517241379310345,0.07554793896622981,0.07207330617144166,0.08633384375915536,0.42948711247805316,0.013022935405781791,0.41800417455020683,0.01233501834444399
20,0.07937192118226602,0.08334229377841608,0.1216088704088704,0.09362777314157668,0.42631512528391824,0.011409813675430402,0.41355528946703535,0.013056452967444001
21,0.11821343232633556,0.10304183111642562,0.12689423202694528,0.09465702151276875,0.4248404100101933,0.009806895230140188,0.41213002248941477,0.013897518866602076
22,0.14996015647638367,0.13361370858387436,0.1582316035187636,0.13066184034434045,0.42211143471709,0.007860325562451444,0.4076394176912955,0.018159964654966002
23,0.1615668202764977,0.13190418141681676,0.17826661479434414,0.14119616163754273,0.4211856211266012,0.008032405761447243,0.404541924760448,0.020788579409382845
24,0.16035714285714286,0.13156485558267375,0.21556607866645386,0.10708486452847775,0.4165168789105083,0.013651109683233414,0.4011871347634296,0.01745719369601763
25,0.1862557603686636,0.11837715697420545,0.2518732957442373,0.10308711248525723,0.4130014335761036,0.017318488016572445,0.39869232166504354,0.01637818611876428
26,0.2672727272727273,0.11185999757783657,0.30889996527317387,0.06307792743211951,0.40741385364689364,0.018262154028855625,0.39416235178143183,0.015754856360289973
27,0.31007343477931715,0.07027403621860033,0.34806538885406013,0.062053982532933726,0.4037862626742932,0.022773045270261978,0.3898666333445416,0.014968088185451858
28,0.31120237120237115,0.07686059382325808,0.3659187798756144,0.06355163398132833,0.40111663861278757,0.02680678812246449,0.3872493796008482,0.01474505450705745
29,0.3258505564387917,0.07925095634568319,0.38514899029178756,0.06931791970305304,0.39931415687102695,0.027427654420440154,0.38471874777112597,0.015330178467712254
30,0.34413330623856936,0.08520280380183752,0.42852199083838105,0.07992596160786326,0.39694830414729554,0.027130907033182557,0.3815060789924625,0.015709544726199818
31,0.3678695699748331,0.10000420231171044,0.4501107726029,0.07872786652374261,0.39574780483347144,0.03049616371590913,0.37737060813649037,0.01689628634696393
32,0.39158783369309685,0.0502758039483816,0.4724409067460026,0.07678566543393905,0.3927766721258058,0.034109364577446975,0.37337726059654275,0.01469629035216887
33,0.39968499968499965,0.058753130526442945,0.47686783610528244,0.07207808948948898,0.39222622355374803,0.034622113145668716,0.37256139058824467,0.014201683603008707
34,0.41133409619402217,0.06700104623776564,0.49373772259054316,0.08411138799055719,0.3920279591520974,0.035512478641620854,0.3700902540044458,0.014857062655108716
35,0.4162273330384786,0.07683481813450237,0.4998350353815379,0.08580568977001395,0.3914562463760848,0.03644044851994547,0.3676244564670196,0.014659511184443126
36,0.43464810675336996,0.05642926877056784,0.5030662978291465,0.09015116161330644,0.39125985324587603,0.03883696925376122,0.3657401478500882,0.014031558968844369
37,0.41843816859221217,0.057873837018186235,0.5027882491863057,0.08408107836548354,0.3906646170392729,0.03973862081109749,0.36237071868227744,0.012731904497127088
38,0.4254557124518613,0.04585349861324206,0.5041588431648674,0.07824041007264287,0.39033072917941475,0.04015128306442776,0.360372133908087,0.012374410860666048
39,0.44177150192554554,0.03327393138772762,0.5041588431648674,0.07824041007264287,0.389136348608826,0.039356983971984526,0.3595886499239963,0.012840634426902765
40,0.45690955495833546,0.03202075763277317,0.5161460771803916,0.0651566214067148,0.38836545331274647,0.04034089387905605,0.3579199701651154,0.013178370108531328
41,0.45690955495833546,0.03202075763277317,0.5167764545046454,0.06550570419258421,0.38826031975516045,0.04025131659093668,0.3570530421030665,0.013418482979503755
42,0.4469095549583355,0.04120761814683284,0.5227151437192521,0.06940195541693053,0.38802929015840026,0.04012886232699051,0.3556104213780112,0.014149599790123125
43,0.45485827290705344,0.03585546827965952,0.519464444187213,0.06752036558929493,0.388046584183292,0.040100369044090735,0.35449283537240983,0.014797360867956615
44,0.4669095549583354,0.036777575306406685,0.5292128447809776,0.0698247854647808,0.38786831508010267,0.040311834238978876,0.35247671384926893,0.015384462148430117
45,0.4644705305680915,0.034359325356412694,0.5269417299568012,0.07085661021954026,0.3884090400845381,0.04086337502396273,0.3507069934858533,0.016288726202398074
46,0.4644705305680915,0.034359325356412694,0.5344959942742009,0.06640026122519124,0.38852778141246164,0.04126105815161129,0.34926866466943807,0.016562276724570682
47,0.4644705305680915,0.034359325356412694,0.5352476049708181,0.06034464345988201,0.38827220354147934,0.04102646257970585,0.34807494794133786,0.017179353727947305
48,0.4644705305680915,0.034359325356412694,0.5359759606718173,0.059753609857319055,0.38850139777165116,0.041363015455443006,0.34702624763325896,0.016973075385659432
49,0.4644705305680915,0.034359325356412694,0.5351983954156795,0.05812636383193045,0.3883210637343184,0.04116280198651236,0.34632071109562285,0.017365627910369417
50,0.4644705305680915,0.034359325356412694,0.5370628790199282,0.05869693454442963,0.38787363932284374,0.04133336334360578,0.34592880624709155,0.01752276992238464
51,0.4785374619350796,0.05468603743759779,0.5435127224489552,0.059352766434514,0.3865513156892958,0.041152643764845356,0.3442402829950609,0.01617711564310749
52,0.48650332253251916,0.0588739281819285,0.5519699504325705,0.047214030190735216,0.3856342660466908,0.04292484613569677,0.3430639526681774,0.015788591877430154
53,0.48650332253251916,0.0588739281819285,0.5474268655835024,0.044627637583195684,0.38579843414208553,0.04185715734246689,0.34219412162150525,0.015405848295818973
54,0.48650332253251916,0.0588739281819285,0.5530754566644529,0.04117473378459461,0.38587340948584076,0.04197435900596948,0.3419415324587488,0.015533603281141253
55,0.49175298515060284,0.04569799173719388,0.5538058282617067,0.04139298406514758,0.38460632362159713,0.042881938626498584,0.3408991912135393,0.014864461030808357
56,0.49175298515060284,0.04569799173719388,0.5514049087828764,0.053756700109168644,0.384529174242583,0.0435315061469412,0.3400156287954887,0.0149642025956638
57,0.49175298515060284,0.04569799173719388,0.5503582790269351,0.050306171710558734,0.3830337605791937,0.043404356030739236,0.33861982975934996,0.015688341341975526
58,0.4838042672018849,0.05686759877251606,0.5547190706306684,0.05661984789622845,0.3836009474694456,0.04379716492406269,0.3379675084986403,0.01628878864478911
59,0.4736541263713846,0.05413641641710743,0.5579921657130227,0.05823217363315755,0.3843992958345986,0.0441912571668477,0.3368448278681592,0.016868917554200766
60,0.4736541263713846,0.05413641641710743,0.5587076799889085,0.05901977542573534,0.3841359601751213,0.044115874048474966,0.3363429058814077,0.01709996929135844
61,0.4736541263713846,0.05413641641710743,0.5605455145722857,0.05736130075536277,0.3837374607539939,0.04403955073140528,0.3353951731370235,0.017460667229968797
62,0.48148138683022407,0.05690052992046593,0.5645178741636232,0.04702906313695145,0.38314571105446066,0.04440427699508575,0.3347296678801924,0.01758420436993651
63,0.48148138683022407,0.05690052992046593,0.5676521757594633,0.04830848318242392,0.38341777103920316,0.04461506606345673,0.33405563990824894,0.01710067078885955
64,0.489430104778942,0.0462408127755987,0.5692950577643361,0.04994642922765151,0.383517651239793,0.044642443671997656,0.3338277295469835,0.017192614824254354
65,0.489430104778942,0.0462408127755987,0.5673084016180476,0.054532809873954445,0.3834701037052119,0.04401670941337469,0.33316922008454397,0.017050037766223318
66,0.489430104778942,0.0462408127755987,0.5744245844151297,0.052369903357089256,0.3841712995018963,0.04458241365230518,0.3321245785719097,0.016852634784874487
67,0.49208791208791214,0.05128424249635724,0.568659527606896,0.04936150536564537,0.38334204330610355,0.044548472689995046,0.3311862675108259,0.01673965039233542
68,0.49208791208791214,0.05128424249635724,0.5670221007063112,0.0478346645134905,0.3836626974051771,0.04481396711031702,0.3309369056213495,0.01684530145598506
69,0.49208791208791214,0.05128424249635724,0.5697101440540354,0.04437094416178063,0.3830524177353104,0.04577411163374396,0.3301195633233614,0.016284720657667093
70,0.49208791208791214,0.05128424249635724,0.5697101440540354,0.04437094416178063,0.38310729682372313,0.045696728502865394,0.32990126721206,0.016292288391247488
71,0.489430104778942,0.0462408127755987,0.5758678774743032,0.041213492554792994,0.3819728642873753,0.046109632342157994,0.32859796879225633,0.015743485376232456
72,0.49175298515060284,0.04569799173719388,0.5783224070410599,0.045703228550724305,0.3816171211678269,0.04650537312812829,0.3276408275590808,0.016487721281997644
73,0.49175298515060284,0.04569799173719388,0.577610447637894,0.04569347989156605,0.38080559621047066,0.047167385976700775,0.3270866336926081,0.016344057649739837
74,0.4838042672018849,0.05686759877251606,0.5815520860057667,0.04785217971073252,0.3804112001773121,0.04702006777458583,0.32660554018058735,0.016386168168909105
75,0.49175298515060284,0.04569799173719388,0.5849904522832589,0.047719014260883305,0.38038444626749585,0.0470779935002839,0.32647166260574284,0.016312310788011267
76,0.489430104778942,0.0462408127755987,0.5833366170964895,0.046367745516295494,0.3809926381883909,0.04790270916308486,0.3259808862043394,0.016680417560437005
77,0.4872152653548002,0.047286884681890975,0.5839666642676009,0.047763837816519016,0.3823467299990866,0.049124415655457186,0.32437845884424354,0.01815223646039674
